,start,end,depart,arrive,string
0,0101,0117,EG\w{2},Brussels,Transit
1,0120,0137,EG\w{2},Germany,Transit
2,0140,0177,EG\w{2},Amsterdam,Transit
3,0401,0417,EG\w{2},EGBB,Birmingham
4,0401,0450,EG\w{2},EGTE,Exeter
5,0401,0467,EG\w{2},Military,RAF
6,0402,0426,EG\w{2},Military,RAF
7,0421,0427,EG\w{2},EGLF,Farnboroug
8,0430,0437,EG\w{2},EGPH,Edinburgh
9,0430,0456,EG\w{2},EGLF,Farnboroug
10,0430,0456,EG\w{2},EGHG,West
11,0431,0446,EG\w{2},EGNR,Hawarden
12,0441,0443,EG\w{2},EGPH,Edinburgh
13,0460,0466,EG\w{2},EGLF,Farnboroug
14,0601,0637,EG\w{2},Germany,Transit
15,0640,0677,EG\w{2},Paris,Transit
16,0701,0727,EG\w{2},Maastricht,Transit
17,0770,0777,EG\w{2},Maastricht,Transit
18,1001,1067,EG\w{2},Spain,Transit
19,1101,1137,EG\w{2},Germany,Transit
20,1301,1327,EG\w{2},Military,NATO
21,1330,1377,EG\w{2},Germany,Transit
22,1500,1577,EG\w{2},Military,NATO
23,1600,1677,EG\w{2},Military,NATO
24,1700,1727,EG\w{2},Military,NATO
25,1730,1744,EG\w{2},EGHQ,Newquay
26,1730,1746,EG\w{2},EGLF,Farnboroug
27,1730,1746,EG\w{2},EGNX,East
28,1730,1767,EG\w{2},Military,RAF
29,1750,1757,EG\w{2},EGHQ,Newquay
30,1760,1777,EG\w{2},Military,RNAS
31,2101,2147,EG\w{2},Amsterdam,Transit
32,2301,2377,EG\w{2},France,Transit
33,2400,2477,EG\w{2},Military,NATO
34,2501,2577,EG\w{2},Germany,Transit
35,2601,2637,EG\w{2},Military,RAF
36,2621,2630,EG\w{2},EGPD,Aberdeen
37,2621,2630,EG\w{2},EGPB,Sumburgh
38,2631,2637,EG\w{2},EGPD,Aberdeen
39,2631,2637,EG\w{2},EGBK,North
40,2631,2637,EG\w{2},EGFH,Sea
41,2640,2642,EG\w{2},Military,RAF
42,2640,2657,EG\w{2},EGPD,Aberdeen
43,2640,2657,EG\w{2},EGBK,North
44,2640,2657,EG\w{2},EGFH,Sea
45,2640,2657,EG\w{2},EGPB,Sumburgh
46,2643,2644,EG\w{2},Military,RAF
47,2646,2647,EG\w{2},Military,RAF
48,2650,2653,EG\w{2},EGNM,Leeds
49,2650,2653,EG\w{2},EGNM,Bradford
50,2655,2676,EG\w{2},EGNM,Leeds
51,2655,2676,EG\w{2},EGNM,Bradford
52,2660,2677,EG\w{2},EGPD,Aberdeen
53,2660,2677,EG\w{2},EGBK,North
54,2660,2677,EG\w{2},EGFH,Sea
55,2740,2777,EG\w{2},Zurich,Transit
56,3001,3077,EG\w{2},Zurich,Transit
57,3101,3127,EG\w{2},Germany,Transit
58,3130,3177,EG\w{2},Amsterdam,Transit
59,3201,3277,EG\w{2},Turkey,Transit
60,3301,3303,EG\w{2},Military,Military
